"Name"	"TissueType"	"OncoTree1"	"OncoTree2"	"OncoTree3"	"OncoTree4"	"ccl_name"	"master_ccl_id"	"ccle_primary_site"	"ccle_primary_hist"	"ccle_hist_subtype_1"	"growth_mode"	"culture_media"	"media_composition"	"snp_fp_status"	"NAPY"	"TNBC"
"KASUMI-2"	"haematopoietic_and_lymphoid_tissue: acute_lymphoblastic_B_cell_leukaemia"	"Blood"	"Leukemia (LEUK)"	"Acute Lymphoid Leukemia (ALL)"	NA	"KASUMI2"	"519"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"acute_lymphoblastic_B_cell_leukaemia"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"KCL-22"	"haematopoietic_and_lymphoid_tissue: blast_phase_chronic_myeloid_leukaemia"	"Blood"	"Leukemia (LEUK)"	"Chronic Myelogenous Leukemia (CML)"	NA	"KCL22"	"524"	"haematopoietic_and_lymphoid_tissue"	"haematopoietic_neoplasm"	"blast_phase; chronic_myeloid_leukaemia"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"KE-37"	"haematopoietic_and_lymphoid_tissue: acute_lymphoblastic_T_cell_leukaemia"	"Blood"	"Leukemia (LEUK)"	"Acute Lymphoid Leukemia (ALL)"	NA	"KE37"	"525"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"acute_lymphoblastic_T_cell_leukaemia"	"suspension"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"KE-97"	"haematopoietic_and_lymphoid_tissue: plasma_cell_myeloma"	"Blood"	"Multiple Myeloma (MM)"	NA	NA	"KE97"	"527"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"plasma_cell_myeloma"	"suspension"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"KHM-1B"	"haematopoietic_and_lymphoid_tissue: plasma_cell_myeloma"	"Blood"	"Multiple Myeloma (MM)"	NA	NA	"KHM1B"	"531"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"plasma_cell_myeloma"	"suspension"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"Ki-JK"	"haematopoietic_and_lymphoid_tissue: anaplastic_large_cell_lymphoma"	"Lymph"	"Non-Hodgkin's Lymphoma (NHL)"	"T-Cell and Natural Killer Lymphoma (TNKL)"	"Anaplastic Large Cell Lymphoma (ALCL)"	"KIJK"	"532"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"anaplastic_large_cell_lymphoma"	"suspension"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"KM-H2"	"haematopoietic_and_lymphoid_tissue: Hodgkin_lymphoma"	"Lymph"	"Hodgkin's Lymphoma (HL)"	NA	NA	"KMH2"	"538"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"Hodgkin_lymphoma"	"suspension"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"KMM-1"	"haematopoietic_and_lymphoid_tissue: plasma_cell_myeloma"	"Blood"	"Multiple Myeloma (MM)"	NA	NA	"KMM1"	"539"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"plasma_cell_myeloma"	"mixed"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"KMS-11"	"haematopoietic_and_lymphoid_tissue: plasma_cell_myeloma"	"Blood"	"Multiple Myeloma (MM)"	NA	NA	"KMS11"	"545"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"plasma_cell_myeloma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"KMS-12-BM"	"haematopoietic_and_lymphoid_tissue: plasma_cell_myeloma"	"Blood"	"Multiple Myeloma (MM)"	NA	NA	"KMS12BM"	"546"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"plasma_cell_myeloma"	"suspension"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"KMS-18"	"haematopoietic_and_lymphoid_tissue: plasma_cell_myeloma"	"Blood"	"Multiple Myeloma (MM)"	NA	NA	"KMS18"	"548"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"plasma_cell_myeloma"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"KMS-20"	"haematopoietic_and_lymphoid_tissue: plasma_cell_myeloma"	"Blood"	"Multiple Myeloma (MM)"	NA	NA	"KMS20"	"549"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"plasma_cell_myeloma"	"suspension"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"KMS-21BM"	"haematopoietic_and_lymphoid_tissue: plasma_cell_myeloma"	"Blood"	"Multiple Myeloma (MM)"	NA	NA	"KMS21BM"	"550"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"plasma_cell_myeloma"	"suspension"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"KMS-26"	"haematopoietic_and_lymphoid_tissue: plasma_cell_myeloma"	"Blood"	"Multiple Myeloma (MM)"	NA	NA	"KMS26"	"551"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"plasma_cell_myeloma"	"suspension"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"KMS-27"	"haematopoietic_and_lymphoid_tissue: plasma_cell_myeloma"	"Blood"	"Multiple Myeloma (MM)"	NA	NA	"KMS27"	"552"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"plasma_cell_myeloma"	"suspension"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"KMS-28BM"	"haematopoietic_and_lymphoid_tissue: plasma_cell_myeloma"	"Blood"	"Multiple Myeloma (MM)"	NA	NA	"KMS28BM"	"553"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"plasma_cell_myeloma"	"suspension"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"KMS-34"	"haematopoietic_and_lymphoid_tissue: plasma_cell_myeloma"	"Blood"	"Multiple Myeloma (MM)"	NA	NA	"KMS34"	"555"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"plasma_cell_myeloma"	"suspension"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"KO52"	"haematopoietic_and_lymphoid_tissue: acute_myeloid_leukaemia"	"Blood"	"Leukemia (LEUK)"	"Acute Myeloid Leukemia (AML)"	NA	"KO52"	"561"	"haematopoietic_and_lymphoid_tissue"	"haematopoietic_neoplasm"	"acute_myeloid_leukaemia"	"suspension"	"MEM001"	"\"MEM, 10% FBS\""	"SNP-matched-reference"	NA	NA
"KU812"	"haematopoietic_and_lymphoid_tissue: chronic_myeloid_leukaemia"	"Blood"	"Leukemia (LEUK)"	"Chronic Myelogenous Leukemia (CML)"	NA	"KU812"	"576"	"haematopoietic_and_lymphoid_tissue"	"haematopoietic_neoplasm"	"chronic_myeloid_leukaemia"	"suspension"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"KYO-1"	"haematopoietic_and_lymphoid_tissue: blast_phase_chronic_myeloid_leukaemia"	"Blood"	"Leukemia (LEUK)"	"Chronic Myelogenous Leukemia (CML)"	NA	"KYO1"	"579"	"haematopoietic_and_lymphoid_tissue"	"haematopoietic_neoplasm"	"blast_phase; chronic_myeloid_leukaemia"	"suspension"	"RPMI003"	"\"RPMI, 20% FBS\""	"SNP-matched-reference"	NA	NA
"L-1236"	"haematopoietic_and_lymphoid_tissue: Hodgkin_lymphoma"	"Lymph"	"Hodgkin's Lymphoma (HL)"	NA	NA	"L1236"	"590"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"Hodgkin_lymphoma"	"suspension"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"L-363"	"haematopoietic_and_lymphoid_tissue: plasma_cell_myeloma"	"Blood"	"Multiple Myeloma (MM)"	NA	NA	"L363"	"592"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"plasma_cell_myeloma"	"suspension"	"RPMI014"	"\"RPMI, 15% FBS\""	"SNP-matched-reference"	NA	NA
"L-428"	"haematopoietic_and_lymphoid_tissue: Hodgkin_lymphoma"	"Lymph"	"Hodgkin's Lymphoma (HL)"	NA	NA	"L428"	"593"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"Hodgkin_lymphoma"	"suspension"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"L-540"	"haematopoietic_and_lymphoid_tissue: Hodgkin_lymphoma"	"Lymph"	"Hodgkin's Lymphoma (HL)"	NA	NA	"L540"	"594"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"Hodgkin_lymphoma"	"suspension"	"RPMI003"	"\"RPMI, 20% FBS\""	"SNP-matched-reference"	NA	NA
"LAMA-84"	"haematopoietic_and_lymphoid_tissue: blast_phase_chronic_myeloid_leukaemia"	"Blood"	"Leukemia (LEUK)"	"Chronic Myelogenous Leukemia (CML)"	NA	"LAMA84"	"595"	"haematopoietic_and_lymphoid_tissue"	"haematopoietic_neoplasm"	"blast_phase; chronic_myeloid_leukaemia"	"adherent"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"LP-1"	"haematopoietic_and_lymphoid_tissue: plasma_cell_myeloma"	"Blood"	"Multiple Myeloma (MM)"	NA	NA	"LP1"	"624"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"plasma_cell_myeloma"	"suspension"	"IMDM002"	"\"IMDM, 10% FBS\""	"SNP-matched-reference"	NA	NA
"M-07e"	"haematopoietic_and_lymphoid_tissue: acute_myeloid_leukaemia"	"Blood"	"Leukemia (LEUK)"	"Acute Myeloid Leukemia (AML)"	NA	"M07E"	"639"	"haematopoietic_and_lymphoid_tissue"	"haematopoietic_neoplasm"	"acute_myeloid_leukaemia"	"suspension"	"RPMI015"	"\"RPMI, 10% FBS, 10ng/ml GM-CSF\""	"SNP-matched-reference"	NA	NA
"MC116"	"haematopoietic_and_lymphoid_tissue: B_cell_lymphoma_unspecified"	"Lymph"	"Non-Hodgkin's Lymphoma (NHL)"	"B-Cell Lymphoma (BCL)"	NA	"MC116"	"643"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"B_cell_lymphoma"	"suspension"	"RPMI003"	"\"RPMI, 20% FBS\""	"SNP-matched-reference"	NA	NA
"ME-1"	"haematopoietic_and_lymphoid_tissue: acute_myeloid_leukaemia"	"Blood"	"Leukemia (LEUK)"	"Acute Myeloid Leukemia (AML)"	NA	"ME1"	"662"	"haematopoietic_and_lymphoid_tissue"	"haematopoietic_neoplasm"	"acute_myeloid_leukaemia"	"suspension"	"RPMI003"	"\"RPMI, 20% FBS\""	"SNP-matched-reference"	NA	NA
"MEC-1"	"haematopoietic_and_lymphoid_tissue: chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma"	"Blood"	"Leukemia (LEUK)"	"Chronic Lymphocytic Leukemia (CLL)"	NA	"MEC1"	"663"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"chronic_lymphocytic_leukaemia; small_lymphocytic_lymphoma"	"suspension"	"IMDM002"	"\"IMDM, 10% FBS\""	"SNP-matched-reference"	NA	NA
"MHH-CALL-3"	"haematopoietic_and_lymphoid_tissue: acute_lymphoblastic_B_cell_leukaemia"	"Blood"	"Leukemia (LEUK)"	"Acute Lymphoid Leukemia (ALL)"	NA	"MHHCALL3"	"675"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"acute_lymphoblastic_B_cell_leukaemia"	"suspension"	"RPMI003"	"\"RPMI, 20% FBS\""	"SNP-not-tested"	NA	NA
"MHH-CALL-4"	"haematopoietic_and_lymphoid_tissue: acute_lymphoblastic_B_cell_leukaemia"	"Blood"	"Leukemia (LEUK)"	"Acute Lymphoid Leukemia (ALL)"	NA	"MHHCALL4"	"676"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"acute_lymphoblastic_B_cell_leukaemia"	"suspension"	"RPMI003"	"\"RPMI, 20% FBS\""	"SNP-matched-reference"	NA	NA
"Mino"	"haematopoietic_and_lymphoid_tissue: mantle_cell_lymphoma"	"Lymph"	"Non-Hodgkin's Lymphoma (NHL)"	"B-Cell Lymphoma (BCL)"	"Mantle Cell Lymphoma (MCL)"	"MINO"	"680"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"mantle_cell_lymphoma"	"suspension"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"MJ"	"haematopoietic_and_lymphoid_tissue: mycosis_fungoides-Sezary_syndrome"	"Lymph"	"Non-Hodgkin's Lymphoma (NHL)"	"T-Cell and Natural Killer Lymphoma (TNKL)"	NA	"MJ"	"681"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"Sezary_syndrome; mycosis_fungoides"	"suspension"	"IMDM002"	"\"IMDM, 10% FBS\""	"SNP-matched-reference"	NA	NA
"MM1-S"	"haematopoietic_and_lymphoid_tissue: plasma_cell_myeloma"	"Blood"	"Multiple Myeloma (MM)"	NA	NA	"MM1S"	"688"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"plasma_cell_myeloma"	"mixed"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"MOLM-13"	"haematopoietic_and_lymphoid_tissue: acute_myeloid_leukaemia"	"Blood"	"Leukemia (LEUK)"	"Acute Myeloid Leukemia (AML)"	NA	"MOLM13"	"692"	"haematopoietic_and_lymphoid_tissue"	"haematopoietic_neoplasm"	"acute_myeloid_leukaemia"	"suspension"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"MOLM-16"	"haematopoietic_and_lymphoid_tissue: acute_myeloid_leukaemia"	"Blood"	"Leukemia (LEUK)"	"Acute Myeloid Leukemia (AML)"	NA	"MOLM16"	"693"	"haematopoietic_and_lymphoid_tissue"	"haematopoietic_neoplasm"	"acute_myeloid_leukaemia"	"suspension"	"RPMI003"	"\"RPMI, 20% FBS\""	"SNP-matched-reference"	NA	NA
"MOLM-6"	"haematopoietic_and_lymphoid_tissue: blast_phase_chronic_myeloid_leukaemia"	"Blood"	"Leukemia (LEUK)"	"Chronic Myelogenous Leukemia (CML)"	NA	"MOLM6"	"694"	"haematopoietic_and_lymphoid_tissue"	"haematopoietic_neoplasm"	"blast_phase; chronic_myeloid_leukaemia"	"suspension"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"MOLP-2"	"haematopoietic_and_lymphoid_tissue: plasma_cell_myeloma"	"Blood"	"Multiple Myeloma (MM)"	NA	NA	"MOLP2"	"695"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"plasma_cell_myeloma"	"suspension"	"RPMI003"	"\"RPMI, 20% FBS\""	"SNP-matched-reference"	NA	NA
"MOLP-8"	"haematopoietic_and_lymphoid_tissue: plasma_cell_myeloma"	"Blood"	"Multiple Myeloma (MM)"	NA	NA	"MOLP8"	"696"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"plasma_cell_myeloma"	"adherent"	"RPMI003"	"\"RPMI, 20% FBS\""	"SNP-matched-reference"	NA	NA
"MOLT-13"	"haematopoietic_and_lymphoid_tissue: acute_lymphoblastic_T_cell_leukaemia"	"Blood"	"Leukemia (LEUK)"	"Acute Lymphoid Leukemia (ALL)"	NA	"MOLT13"	"697"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"acute_lymphoblastic_T_cell_leukaemia"	"suspension"	"RPMI003"	"\"RPMI, 20% FBS\""	"SNP-matched-reference"	NA	NA
"MOLT-16"	"haematopoietic_and_lymphoid_tissue: acute_lymphoblastic_T_cell_leukaemia"	"Blood"	"Leukemia (LEUK)"	"Acute Lymphoid Leukemia (ALL)"	NA	"MOLT16"	"698"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"acute_lymphoblastic_T_cell_leukaemia"	"suspension"	"RPMI003"	"\"RPMI, 20% FBS\""	"SNP-matched-reference"	NA	NA
"MONO-MAC-1"	"haematopoietic_and_lymphoid_tissue: acute_myeloid_leukaemia"	"Blood"	"Leukemia (LEUK)"	"Acute Myeloid Leukemia (AML)"	NA	"MONOMAC1"	"701"	"haematopoietic_and_lymphoid_tissue"	"haematopoietic_neoplasm"	"acute_myeloid_leukaemia"	"suspension"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"MONO-MAC-6"	"haematopoietic_and_lymphoid_tissue: acute_myeloid_leukaemia"	"Blood"	"Leukemia (LEUK)"	"Acute Myeloid Leukemia (AML)"	NA	"MONOMAC6"	"702"	"haematopoietic_and_lymphoid_tissue"	"haematopoietic_neoplasm"	"acute_myeloid_leukaemia"	"suspension"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"MOTN-1"	"haematopoietic_and_lymphoid_tissue: T_cell_large_granular_lymphocytic_leukaemia"	"Blood"	"Leukemia (LEUK)"	NA	NA	"MOTN1"	"704"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"T_cell_large_granular_lymphocytic_leukaemia"	"suspension"	"RPMI003"	"\"RPMI, 20% FBS\""	"SNP-matched-reference"	NA	NA
"MV-4-11"	"haematopoietic_and_lymphoid_tissue: acute_myeloid_leukaemia"	"Blood"	"Leukemia (LEUK)"	"Acute Myeloid Leukemia (AML)"	NA	"MV411"	"710"	"haematopoietic_and_lymphoid_tissue"	"haematopoietic_neoplasm"	"acute_myeloid_leukaemia"	"suspension"	"IMDM002"	"\"IMDM, 10% FBS\""	"SNP-matched-reference"	NA	NA
"NALM-6"	"haematopoietic_and_lymphoid_tissue: acute_lymphoblastic_B_cell_leukaemia"	"Blood"	"Leukemia (LEUK)"	"Acute Lymphoid Leukemia (ALL)"	NA	"NALM6"	"718"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"acute_lymphoblastic_B_cell_leukaemia"	"suspension"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"NAMALWA"	"haematopoietic_and_lymphoid_tissue: Burkitt_lymphoma"	"Lymph"	"Non-Hodgkin's Lymphoma (NHL)"	"B-Cell Lymphoma (BCL)"	"Burkitt Lymphoma (BL)"	"NAMALWA"	"719"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"Burkitt_lymphoma"	"suspension"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"NB-4"	"haematopoietic_and_lymphoid_tissue: acute_myeloid_leukaemia"	"Blood"	"Leukemia (LEUK)"	"Acute Myeloid Leukemia (AML)"	NA	"NB4"	"721"	"haematopoietic_and_lymphoid_tissue"	"haematopoietic_neoplasm"	"acute_myeloid_leukaemia"	"suspension"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"NCI-H929"	"haematopoietic_and_lymphoid_tissue: plasma_cell_myeloma"	"Blood"	"Multiple Myeloma (MM)"	NA	NA	"NCIH929"	"128013"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"plasma_cell_myeloma"	"suspension"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"NCO2"	"haematopoietic_and_lymphoid_tissue: chronic_myeloid_leukaemia"	"Blood"	"Leukemia (LEUK)"	"Chronic Myelogenous Leukemia (CML)"	NA	"NCO2"	"851"	"haematopoietic_and_lymphoid_tissue"	"haematopoietic_neoplasm"	"chronic_myeloid_leukaemia"	"suspension"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"NOMO-1"	"haematopoietic_and_lymphoid_tissue: acute_myeloid_leukaemia"	"Blood"	"Leukemia (LEUK)"	"Acute Myeloid Leukemia (AML)"	NA	"NOMO1"	"858"	"haematopoietic_and_lymphoid_tissue"	"haematopoietic_neoplasm"	"acute_myeloid_leukaemia"	"suspension"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"NU-DHL-1"	"haematopoietic_and_lymphoid_tissue: diffuse_large_B_cell_lymphoma"	"Lymph"	"Non-Hodgkin's Lymphoma (NHL)"	"B-Cell Lymphoma (BCL)"	"Diffuse Large B-Cell Lymphoma (DLBCL)"	"NUDHL1"	"874"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"diffuse_large_B_cell_lymphoma"	"suspension"	"RPMI003"	"\"RPMI, 20% FBS\""	"SNP-not-tested"	NA	NA
"NU-DUL-1"	"haematopoietic_and_lymphoid_tissue: B_cell_lymphoma_unspecified"	"Lymph"	"Non-Hodgkin's Lymphoma (NHL)"	"B-Cell Lymphoma (BCL)"	NA	"NUDUL1"	"875"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"B_cell_lymphoma"	"suspension"	"RPMI003"	"\"RPMI, 20% FBS\""	"SNP-unconfirmed"	NA	NA
"OCI-AML2"	"haematopoietic_and_lymphoid_tissue: acute_myeloid_leukaemia"	"Blood"	"Leukemia (LEUK)"	"Acute Myeloid Leukemia (AML)"	NA	"OCIAML2"	"884"	"haematopoietic_and_lymphoid_tissue"	"haematopoietic_neoplasm"	"acute_myeloid_leukaemia"	"suspension"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"OCI-AML3"	"haematopoietic_and_lymphoid_tissue: acute_myeloid_leukaemia"	"Blood"	"Leukemia (LEUK)"	"Acute Myeloid Leukemia (AML)"	NA	"OCIAML3"	"885"	"haematopoietic_and_lymphoid_tissue"	"haematopoietic_neoplasm"	"acute_myeloid_leukaemia"	"suspension"	"ALPHAMEM001"	"\"AMEM, 10% FBS\""	"SNP-matched-reference"	NA	NA
"OCI-AML5"	"haematopoietic_and_lymphoid_tissue: acute_myeloid_leukaemia"	"Blood"	"Leukemia (LEUK)"	"Acute Myeloid Leukemia (AML)"	NA	"OCIAML5"	"886"	"haematopoietic_and_lymphoid_tissue"	"haematopoietic_neoplasm"	"acute_myeloid_leukaemia"	"suspension"	"ALPHAMEM003"	"\"AMEM, 20% FBS, 10ng/ml SCF \""	"SNP-matched-reference"	NA	NA
"OCI-LY10"	"haematopoietic_and_lymphoid_tissue: diffuse_large_B_cell_lymphoma"	"Lymph"	"Non-Hodgkin's Lymphoma (NHL)"	"B-Cell Lymphoma (BCL)"	"Diffuse Large B-Cell Lymphoma (DLBCL)"	"OCILY10"	"887"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"diffuse_large_B_cell_lymphoma"	"suspension"	"IMDM001"	"\"IMDM, 20% human serum, 50 uM beta-mercaptoethanol\""	"SNP-not-tested"	NA	NA
"OCI-LY-19"	"haematopoietic_and_lymphoid_tissue: diffuse_large_B_cell_lymphoma"	"Lymph"	"Non-Hodgkin's Lymphoma (NHL)"	"B-Cell Lymphoma (BCL)"	"Diffuse Large B-Cell Lymphoma (DLBCL)"	"OCILY19"	"888"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"diffuse_large_B_cell_lymphoma"	"suspension"	"ALPHAMEM002"	"\"AMEM, 20% FBS\""	"SNP-matched-reference"	NA	NA
"OCI-LY3"	"haematopoietic_and_lymphoid_tissue: diffuse_large_B_cell_lymphoma"	"Lymph"	"Non-Hodgkin's Lymphoma (NHL)"	"B-Cell Lymphoma (BCL)"	"Diffuse Large B-Cell Lymphoma (DLBCL)"	"OCILY3"	"889"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"diffuse_large_B_cell_lymphoma"	"suspension"	"RPMI003"	"\"RPMI, 20% FBS\""	"SNP-matched-reference"	NA	NA
"OCI-M1"	"haematopoietic_and_lymphoid_tissue: acute_myeloid_leukaemia"	"Blood"	"Leukemia (LEUK)"	"Acute Myeloid Leukemia (AML)"	NA	"OCIM1"	"890"	"haematopoietic_and_lymphoid_tissue"	"haematopoietic_neoplasm"	"acute_myeloid_leukaemia"	"suspension"	"IMDM002"	"\"IMDM, 10% FBS\""	"SNP-matched-reference"	NA	NA
"OPM-2"	"haematopoietic_and_lymphoid_tissue: plasma_cell_myeloma"	"Blood"	"Multiple Myeloma (MM)"	NA	NA	"OPM2"	"901"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"plasma_cell_myeloma"	"suspension"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"P12-ICHIKAWA"	"haematopoietic_and_lymphoid_tissue: acute_lymphoblastic_T_cell_leukaemia"	"Blood"	"Leukemia (LEUK)"	"Acute Lymphoid Leukemia (ALL)"	NA	"P12ICHIKAWA"	"917"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"acute_lymphoblastic_T_cell_leukaemia"	"suspension"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"P31/FUJ"	"haematopoietic_and_lymphoid_tissue: acute_myeloid_leukaemia"	"Blood"	"Leukemia (LEUK)"	"Acute Myeloid Leukemia (AML)"	NA	"P31FUJ"	"918"	"haematopoietic_and_lymphoid_tissue"	"haematopoietic_neoplasm"	"acute_myeloid_leukaemia"	"suspension"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"P3HR-1"	"haematopoietic_and_lymphoid_tissue: Burkitt_lymphoma"	"Lymph"	"Non-Hodgkin's Lymphoma (NHL)"	"B-Cell Lymphoma (BCL)"	"Burkitt Lymphoma (BL)"	"P3HR1"	"919"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"Burkitt_lymphoma"	"suspension"	"RPMI003"	"\"RPMI, 20% FBS\""	"SNP-matched-reference"	NA	NA
"PEER"	"haematopoietic_and_lymphoid_tissue: acute_lymphoblastic_T_cell_leukaemia"	"Blood"	"Leukemia (LEUK)"	"Acute Lymphoid Leukemia (ALL)"	NA	"PEER"	"941"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"acute_lymphoblastic_T_cell_leukaemia"	"suspension"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"PF-382"	"haematopoietic_and_lymphoid_tissue: acute_lymphoblastic_T_cell_leukaemia"	"Blood"	"Leukemia (LEUK)"	"Acute Lymphoid Leukemia (ALL)"	NA	"PF382"	"942"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"acute_lymphoblastic_T_cell_leukaemia"	"suspension"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
"Pfeiffer"	"haematopoietic_and_lymphoid_tissue: diffuse_large_B_cell_lymphoma"	"Lymph"	"Non-Hodgkin's Lymphoma (NHL)"	"B-Cell Lymphoma (BCL)"	"Diffuse Large B-Cell Lymphoma (DLBCL)"	"PFEIFFER"	"943"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"diffuse_large_B_cell_lymphoma"	"suspension"	"RPMI001"	"\"RPMI, 10% FBS\""	"SNP-matched-reference"	NA	NA
